127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/css/web2py.css, HTTP/1.1, 200, 0.000884
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000595
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005156
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000654
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000595
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/js/share.js, HTTP/1.1, 200, 0.001211
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002857
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/images/twitter.png, HTTP/1.1, 200, 0.000667
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/images/facebook.png, HTTP/1.1, 200, 0.000915
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.000964
127.0.0.1, 2015-01-09 22:29:08, GET, /webapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000734
127.0.0.1, 2015-01-09 22:29:10, GET, /webapp/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000917
127.0.0.1, 2015-01-09 22:29:10, GET, /webapp/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001266
127.0.0.1, 2015-01-09 22:29:11, GET, /webapp/default/user/register, HTTP/1.1, 200, 0.033920
127.0.0.1, 2015-01-09 22:29:16, GET, /admin/default/edit/webapp/models/db.py, HTTP/1.1, 200, 0.045295
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001529
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001056
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000790
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002140
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001815
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001050
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000750
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000599
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000808
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000809
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000591
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001417
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001916
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000649
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000686
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002221
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000972
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001295
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001019
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000645
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001496
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000716
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002386
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001608
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000834
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001605
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000686
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000855
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000577
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000789
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000644
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/js/typeahead.min.js, HTTP/1.1, 200, 0.001504
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/js/ajax_editor.js, HTTP/1.1, 200, 0.002418
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/images/files_toggle.png, HTTP/1.1, 200, 0.000666
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/_2.9.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000720
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/default/edit/webapp/models/db.py, HTTP/1.1, 200, 0.045471
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.083765
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.001120
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106810
127.0.0.1, 2015-01-09 22:29:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.149324
127.0.0.1, 2015-01-09 22:29:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.084758
127.0.0.1, 2015-01-09 22:30:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039632
127.0.0.1, 2015-01-09 22:31:10, GET, /admin/default/edit/webapp/models/db.py, HTTP/1.1, 200, 0.030289
127.0.0.1, 2015-01-09 22:31:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031576
127.0.0.1, 2015-01-09 22:32:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.033477
127.0.0.1, 2015-01-09 22:33:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028550
127.0.0.1, 2015-01-09 22:34:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.027512
127.0.0.1, 2015-01-09 22:34:56, GET, /webapp/appadmin, HTTP/1.1, 200, 0.542474
127.0.0.1, 2015-01-09 22:34:59, GET, /webapp/appadmin/select/db, HTTP/1.1, 200, 0.754718
127.0.0.1, 2015-01-09 22:35:03, GET, /webapp/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.742051
127.0.0.1, 2015-01-09 22:35:16, POST, /admin/default/edit/webapp/models/db.py, HTTP/1.1, 200, 0.033830
127.0.0.1, 2015-01-09 22:35:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032053
127.0.0.1, 2015-01-09 22:36:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.029261
127.0.0.1, 2015-01-09 22:37:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.029567
127.0.0.1, 2015-01-09 22:38:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.028687
127.0.0.1, 2015-01-09 22:39:00, POST, /admin/default/edit/webapp/models/db.py, HTTP/1.1, 200, 0.033632
127.0.0.1, 2015-01-09 22:39:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.029468
127.0.0.1, 2015-01-09 22:40:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049165
127.0.0.1, 2015-01-09 22:40:24, POST, /admin/default/edit/webapp/models/db.py, HTTP/1.1, 200, 0.048215
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/appadmin/insert/db/auth_user, HTTP/1.1, 303, 0.085645
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/appadmin/index, HTTP/1.1, 200, 0.086610
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/js/jquery.js, HTTP/1.1, 304, 0.003460
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/css/calendar.css, HTTP/1.1, 304, 0.002134
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/css/web2py.css, HTTP/1.1, 304, 0.004906
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/js/calendar.js, HTTP/1.1, 304, 0.002858
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001663
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000561
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000476
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000427
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000479
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/js/share.js, HTTP/1.1, 304, 0.001222
127.0.0.1, 2015-01-09 22:40:32, GET, /webapp/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.023282
127.0.0.1, 2015-01-09 22:40:33, GET, /webapp/static/images/facebook.png, HTTP/1.1, 304, 0.002209
127.0.0.1, 2015-01-09 22:40:33, GET, /webapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.001115
127.0.0.1, 2015-01-09 22:40:33, GET, /webapp/static/images/twitter.png, HTTP/1.1, 304, 0.002506
127.0.0.1, 2015-01-09 22:40:38, GET, /webapp/default, HTTP/1.1, 200, 0.534765
127.0.0.1, 2015-01-09 22:40:44, GET, /webapp/default/user/register, HTTP/1.1, 500, 3.703697
127.0.0.1, 2015-01-09 22:40:44, GET, /webapp/default/user/register, HTTP/1.1, 500, 0.391365
